Status,Location,Machine,Product,Category,Transaction,TransDate,Type,RCoil,RPrice,RQty,MCoil,MPrice,MQty,LineTotal,TransTotal,Prcd Date,official_id
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,SunChips Multigrain - Harvest Cheddar,Food,14543096516,2024-01-08,Cash,125,1.5,1,125,1.5,1,1.5,1.5,1/8/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Good Health Veggie Stix - Sea Salt,Food,14543336255,2024-01-08,Credit,110,1.5,1,110,1.5,1,1.5,1.5,1/8/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Good Health Veggie Stix - Sea Salt,Food,14549326831,2024-01-10,Credit,110,1.5,1,110,1.5,1,1.5,1.5,1/10/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Larabar - Peanut Butter chocolate Chip,Food,14550656367,2024-01-10,Credit,133,2.0,1,133,2.0,1,2.0,2.0,1/10/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,S. Pellegrino Sparkling Mineral Water,Water,14552862313,2024-01-11,Credit,143,2.0,1,143,2.0,1,2.0,2.0,1/11/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Bai Antioxidant - Molokai Coconut,Non Carbonated,14558327394,2024-01-12,Cash,144,2.5,1,144,2.5,1,2.5,2.5,1/12/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Snapple Diet Tea - Raspberry,Non Carbonated,14559129065,2024-01-12,Cash,145,2.5,1,145,2.5,1,2.5,2.5,1/12/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Snapple Diet Tea - Raspberry,Non Carbonated,14559130790,2024-01-12,Cash,145,2.5,1,145,2.5,1,2.5,2.5,1/12/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Monster Energy Original,Carbonated,14568186832,2024-01-14,Cash,146,3.0,1,146,3.0,1,3.0,3.0,1/14/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,V8 Vegetable Juice - Original,Non Carbonated,14568615335,2024-01-14,Cash,141,1.5,1,141,1.5,1,1.5,1.5,1/14/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,V8 Vegetable Juice - Original,Non Carbonated,14570742020,2024-01-15,Cash,141,1.5,1,141,1.5,1,1.5,1.5,1/15/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Monster Energy Original,Carbonated,14571607101,2024-01-15,Cash,146,3.0,1,146,3.0,1,3.0,3.0,1/15/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Monster Energy Original,Carbonated,14571627828,2024-01-15,Cash,146,3.0,1,146,3.0,1,3.0,3.0,1/15/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,CheezIt - White Cheddar,Food,14572175555,2024-01-15,Cash,121,1.25,1,121,1.25,1,1.25,1.25,1/15/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Lays Baked - Original,Food,14574010792,2024-01-16,Cash,112,1.5,1,112,1.5,1,1.5,1.5,1/16/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Monster Energy Original,Carbonated,14574141888,2024-01-16,Cash,146,3.0,1,146,3.0,1,3.0,3.0,1/16/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Monster Energy Original,Carbonated,14574145196,2024-01-16,Cash,146,3.0,1,146,3.0,1,3.0,3.0,1/16/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Monster Energy Original,Carbonated,14577107071,2024-01-17,Credit,146,3.0,1,146,3.0,1,3.0,3.0,1/17/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Snapple Diet Tea - Raspberry,Non Carbonated,14577677689,2024-01-17,Credit,145,2.5,1,145,2.5,1,2.5,2.5,1/17/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Bubly - Cherry,Carbonated,14577893993,2024-01-17,Cash,140,1.5,1,140,1.5,1,1.5,1.5,1/17/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Bubly - Cherry,Carbonated,14580849667,2024-01-18,Credit,140,1.5,1,140,1.5,1,1.5,1.5,1/18/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Monster Energy Original,Carbonated,14587004565,2024-01-19,Credit,146,3.0,1,146,3.0,1,3.0,3.0,1/19/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Takis - Hot Chilli Pepper & Lime,Food,14587309185,2024-01-19,Cash,123,1.5,1,123,1.5,1,1.5,1.5,1/19/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Nature's Valley Chewy Granola Bar - Fruit & N,Food,14591296546,2024-01-20,Cash,131,1.25,1,131,1.25,1,1.25,1.25,1/20/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Keto Krisp - Almond Butter,Carbonated,14596771746,2024-01-21,Cash,135,1.25,1,135,1.25,1,1.25,1.25,1/21/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Bai Antioxidant - Molokai Coconut,Non Carbonated,14598356415,2024-01-22,Cash,144,2.5,1,144,2.5,1,2.5,2.5,1/22/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Good Health Veggie Stix - Sea Salt,Food,14598703559,2024-01-22,Cash,110,1.5,1,110,1.5,1,1.5,1.5,1/22/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Popchips Potato - Sea Salt,Food,14599130789,2024-01-22,Cash,111,1.5,1,111,1.5,1,1.5,1.5,1/22/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Poland Springs Water,Water,14599221781,2024-01-22,Credit,142,1.5,1,142,1.5,1,1.5,1.5,1/22/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Monster Energy Original,Carbonated,14599566852,2024-01-22,Credit,146,3.0,1,146,3.0,1,3.0,3.0,1/22/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Snapple Diet Tea - Raspberry,Non Carbonated,14600003719,2024-01-22,Credit,145,2.5,1,145,2.5,1,2.5,2.5,1/22/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Vitamin Water - Squeezed Lemonade,Water,14600005496,2024-01-22,Credit,147,2.75,1,147,2.75,1,2.75,2.75,1/22/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,SunChips Multigrain - Salsa,Food,14601146327,2024-01-23,Cash,124,1.5,1,124,1.5,1,1.5,1.5,1/23/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,CheezIt - Double Cheese,Food,14601146900,2024-01-23,Cash,122,1.25,1,122,1.25,1,1.25,1.25,1/23/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Monster Energy Original,Carbonated,14601580730,2024-01-23,Cash,146,3.0,1,146,3.0,1,3.0,3.0,1/23/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Robert Irvine's - Fit Crunch -  Chocolate Pea,Food,14604555974,2024-01-24,Credit,138,2.0,1,138,2.0,1,2.0,2.0,1/24/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Poland Springs Water,Water,14606042702,2024-01-24,Credit,142,1.5,2,142,1.5,2,3.0,3.0,1/24/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Keto Krisp - Almond Butter,Carbonated,14606049325,2024-01-24,Credit,135,1.25,2,135,1.25,2,2.5,2.5,1/24/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Poland Springs Water,Water,14610954837,2024-01-25,Credit,142,1.5,1,142,1.5,1,1.5,1.5,1/25/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,V8 Vegetable Juice - Original,Non Carbonated,14613663952,2024-01-26,Cash,141,1.5,1,141,1.5,1,1.5,1.5,1/26/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Lays Baked - Original,Food,14621328372,2024-01-27,Credit,112,1.5,1,112,1.5,1,1.5,1.5,1/27/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Monster Energy Original,Carbonated,14625014390,2024-01-28,Credit,146,3.0,1,146,3.0,1,3.0,3.0,1/28/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Poland Springs Water,Water,14626598098,2024-01-28,Credit,142,1.5,2,142,1.5,2,3.0,3.0,1/28/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Poland Springs Water,Water,14631255630,2024-01-30,Credit,142,1.5,1,142,1.5,1,1.5,6.0,1/30/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Monster Energy Original,Carbonated,14631255630,2024-01-30,Credit,146,3.0,1,146,3.0,1,3.0,6.0,1/30/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Lays Baked - Original,Food,14631255630,2024-01-30,Credit,112,1.5,1,112,1.5,1,1.5,6.0,1/30/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Poland Springs Water,Water,14631313975,2024-01-30,Cash,142,1.5,1,142,1.5,1,1.5,1.5,1/30/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,V8 Vegetable Juice - Original,Non Carbonated,14631674330,2024-01-30,Cash,141,1.5,1,141,1.5,1,1.5,1.5,1/30/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Poland Springs Water,Water,14631757968,2024-01-30,Cash,142,1.5,1,142,1.5,1,1.5,1.5,1/30/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Red Bull - Original,Carbonated,14635941850,2024-01-31,Credit,148,3.5,1,148,3.5,1,3.5,3.5,1/31/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Monster Energy Original,Carbonated,14636950280,2024-01-31,Credit,146,3.0,1,146,3.0,1,3.0,6.0,1/31/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Poland Springs Water,Water,14636950280,2024-01-31,Credit,142,1.5,1,142,1.5,1,1.5,6.0,1/31/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Lays Baked - Original,Food,14636950280,2024-01-31,Credit,112,1.5,1,112,1.5,1,1.5,6.0,1/31/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Bai Antioxidant - Molokai Coconut,Non Carbonated,14640714028,2024-02-01,Credit,144,2.5,1,144,2.5,1,2.5,4.0,2/1/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Poland Springs Water,Water,14640714028,2024-02-01,Credit,142,1.5,1,142,1.5,1,1.5,4.0,2/1/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Poland Springs Water,Water,14645250806,2024-02-02,Cash,142,1.5,1,142,1.5,1,1.5,1.5,2/2/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,S. Pellegrino Sparkling Mineral Water,Water,14647334195,2024-02-02,Cash,143,2.0,1,143,2.0,1,2.0,2.0,2/2/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Snapple Diet Tea - Raspberry,Non Carbonated,14651030290,2024-02-03,Credit,145,2.5,1,145,2.5,1,2.5,2.5,2/3/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,SunChips Multigrain - Harvest Cheddar,Food,14654396595,2024-02-04,Cash,125,1.5,1,125,1.5,1,1.5,1.5,2/4/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,V8 Vegetable Juice - Original,Non Carbonated,14657720063,2024-02-05,Cash,141,1.5,1,141,1.5,1,1.5,1.5,2/5/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Good Health Veggie Stix - Sea Salt,Food,14658268569,2024-02-05,Cash,110,1.5,1,110,1.5,1,1.5,1.5,2/5/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Keto Krisp - Almond Butter,Carbonated,14658269936,2024-02-05,Cash,135,1.25,1,135,1.25,1,1.25,1.25,2/5/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,V8 Vegetable Juice - Original,Non Carbonated,14658376115,2024-02-05,Cash,141,1.5,1,141,1.5,1,1.5,1.5,2/5/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Red Bull - Original,Carbonated,14658547557,2024-02-05,Credit,148,3.5,1,148,3.5,1,3.5,3.5,2/5/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Red Bull - Original,Carbonated,14658550685,2024-02-05,Credit,148,3.5,1,148,3.5,1,3.5,3.5,2/5/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Good Health Veggie Stix - Sea Salt,Food,14658938087,2024-02-05,Cash,110,1.5,1,110,1.5,1,1.5,1.5,2/5/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,V8 Vegetable Juice - Original,Non Carbonated,14660930391,2024-02-06,Cash,141,1.5,1,141,1.5,1,1.5,1.5,2/6/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Monster Energy Original,Carbonated,14660971272,2024-02-06,Cash,146,3.0,1,146,3.0,1,3.0,3.0,2/6/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Bai Antioxidant - Molokai Coconut,Non Carbonated,14661331173,2024-02-06,Cash,144,2.5,1,144,2.5,1,2.5,2.5,2/6/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Bai Antioxidant - Molokai Coconut,Non Carbonated,14661635421,2024-02-06,Credit,144,2.5,1,144,2.5,1,2.5,2.5,2/6/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Bubly - Cherry,Carbonated,14663498695,2024-02-07,Credit,140,1.5,1,140,1.5,1,1.5,1.5,2/7/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Red Bull - Original,Carbonated,14666055106,2024-02-07,Cash,148,3.5,1,148,3.5,1,3.5,3.5,2/7/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Red Bull - Original,Carbonated,14666062656,2024-02-07,Cash,148,3.5,1,148,3.5,1,3.5,3.5,2/7/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Snapple Diet Tea - Raspberry,Non Carbonated,14666127240,2024-02-07,Cash,145,2.5,1,145,2.5,1,2.5,2.5,2/7/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Miss Vickie's Potato Chip - Sea Salt Original,Food,14668253038,2024-02-08,Cash,114,1.5,1,114,1.5,1,1.5,1.5,2/8/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Keto Krisp - Almond Butter,Carbonated,14671153805,2024-02-08,Cash,135,1.25,1,135,1.25,1,1.25,1.25,2/8/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Keto Krisp - Almond Butter,Carbonated,14671154999,2024-02-08,Cash,135,1.25,1,135,1.25,1,1.25,1.25,2/8/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,V8 Vegetable Juice - Original,Non Carbonated,14676496940,2024-02-09,Cash,141,1.5,1,141,1.5,1,1.5,1.5,2/9/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Monster Energy Original,Carbonated,14681168129,2024-02-10,Cash,146,3.0,1,146,3.0,1,3.0,3.0,2/10/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Red Bull - Original,Carbonated,14687660462,2024-02-11,Cash,148,3.5,1,148,3.5,1,3.5,3.5,2/11/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,KitKat - Crisp Wafers,Food,14687663284,2024-02-11,Cash,135,1.25,1,135,1.25,1,1.25,1.25,2/11/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Good Health Veggie Stix - Sea Salt,Food,14689729434,2024-02-12,Cash,110,1.5,1,110,1.5,1,1.5,1.5,2/12/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Bai Antioxidant - Molokai Coconut,Non Carbonated,14690083988,2024-02-12,Cash,144,2.5,1,144,2.5,1,2.5,2.5,2/12/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Snapple Diet Tea - Raspberry,Non Carbonated,14692374175,2024-02-13,Credit,145,2.5,1,145,2.5,1,2.5,2.5,2/13/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Newtons Fig Bar,Food,14692731705,2024-02-13,Cash,134,2.0,1,134,2.0,1,2.0,2.0,2/13/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Snapple Diet Tea - Raspberry,Non Carbonated,14692825629,2024-02-13,Cash,145,2.5,1,145,2.5,1,2.5,2.5,2/13/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Snapple Diet Tea - Raspberry,Non Carbonated,14692853883,2024-02-13,Cash,145,2.5,1,145,2.5,1,2.5,2.5,2/13/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Bai Antioxidant - Molokai Coconut,Non Carbonated,14693186359,2024-02-13,Cash,144,2.5,1,144,2.5,1,2.5,2.5,2/13/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,KitKat - Crisp Wafers,Food,14693188770,2024-02-13,Cash,135,1.25,1,135,1.25,1,1.25,1.25,2/13/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Newtons Fig Bar,Food,14702654114,2024-02-15,Credit,134,2.0,1,134,2.0,1,2.0,2.0,2/15/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,SunChips Multigrain - Salsa,Food,14702779691,2024-02-15,Credit,124,1.5,1,124,1.5,1,1.5,1.5,2/15/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Red Bull - Original,Carbonated,14705562378,2024-02-16,Credit,148,3.5,1,148,3.5,1,3.5,3.5,2/16/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Red Bull - Original,Carbonated,14711605715,2024-02-17,Credit,148,3.5,2,148,3.5,2,7.0,7.0,2/17/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Red Bull - Original,Carbonated,14716746549,2024-02-18,Credit,148,3.5,1,148,3.5,1,3.5,3.5,2/18/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,S. Pellegrino Sparkling Mineral Water,Water,14718482521,2024-02-18,Cash,143,2.0,1,143,2.0,1,2.0,2.0,2/18/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Red Bull - Original,Carbonated,14719885953,2024-02-19,Credit,148,3.5,1,148,3.5,1,3.5,3.5,2/19/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Monster Energy Original,Carbonated,14720838641,2024-02-19,Cash,146,3.0,1,146,3.0,1,3.0,3.0,2/19/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Monster Energy Original,Carbonated,14720842679,2024-02-19,Cash,146,3.0,1,146,3.0,1,3.0,3.0,2/19/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Takis - Hot Chilli Pepper & Lime,Food,14721192891,2024-02-19,Cash,123,1.5,1,123,1.5,1,1.5,1.5,2/19/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Takis - Hot Chilli Pepper & Lime,Food,14721197232,2024-02-19,Cash,123,1.5,1,123,1.5,1,1.5,1.5,2/19/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,SunChips Multigrain - Salsa,Food,14721248369,2024-02-19,Cash,124,1.5,1,124,1.5,1,1.5,1.5,2/19/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Monster Energy Original,Carbonated,14723567336,2024-02-20,Cash,146,3.0,1,146,3.0,1,3.0,3.0,2/20/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,KitKat - Crisp Wafers,Food,14723861979,2024-02-20,Credit,135,1.25,1,135,1.25,1,1.25,3.25,2/20/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Wonderful Pistachios - Variety,Food,14723861979,2024-02-20,Credit,133,2.0,1,133,2.0,1,2.0,3.25,2/20/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Takis - Hot Chilli Pepper & Lime,Food,14724035451,2024-02-20,Cash,123,1.5,1,123,1.5,1,1.5,1.5,2/20/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,SunChips Multigrain - Original,Food,14724035550,2024-02-20,Cash,113,1.5,1,113,1.5,1,1.5,1.5,2/20/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Miss Vickie's Potato Chip - Sea Salt & Vinega,Food,14725038912,2024-02-21,Cash,112,1.5,1,112,1.5,1,1.5,1.5,2/20/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Red Bull - Original,Carbonated,14726270252,2024-02-21,Credit,148,3.5,1,148,3.5,1,3.5,3.5,2/21/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Monster Energy Original,Carbonated,14727281640,2024-02-21,Cash,146,3.0,1,146,3.0,1,3.0,3.0,2/21/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Snapple Diet Tea - Raspberry,Non Carbonated,14728676741,2024-02-21,Cash,145,2.5,1,145,2.5,1,2.5,2.5,2/21/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Miss Vickie's Potato Chip - Sea Salt & Vinega,Food,14729614015,2024-02-22,Cash,112,1.5,1,112,1.5,1,1.5,1.5,2/21/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Miss Vickie's Potato Chip - Sea Salt & Vinega,Food,14729614035,2024-02-22,Cash,112,1.5,1,112,1.5,1,1.5,1.5,2/21/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Miss Vickie's Potato Chip - Sea Salt & Vinega,Food,14729614455,2024-02-22,Cash,112,1.5,1,112,1.5,1,1.5,1.5,2/21/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Miss Vickie's Potato Chip - Sea Salt & Vinega,Food,14729879503,2024-02-22,Cash,112,1.5,1,112,1.5,1,1.5,1.5,2/22/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,SunChips Multigrain - Harvest Cheddar,Food,14733755823,2024-02-22,Credit,125,1.5,1,125,1.5,1,1.5,1.5,2/22/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Red Bull - Original,Carbonated,14749665086,2024-02-25,Credit,148,3.5,1,148,3.5,1,3.5,3.5,2/25/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Red Bull - Original,Carbonated,14751229091,2024-02-26,Credit,148,3.5,1,148,3.5,1,3.5,3.5,2/26/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Vitamin Water - Squeezed Lemonade,Water,14751380923,2024-02-26,Credit,147,2.75,1,147,2.75,1,2.75,2.75,2/26/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Bai Antioxidant - Molokai Coconut,Non Carbonated,14756466263,2024-02-28,Cash,144,2.5,1,144,2.5,1,2.5,2.5,2/27/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Vitamin Water - Squeezed Lemonade,Water,14765397301,2024-03-01,Credit,147,2.75,1,147,2.75,1,2.75,2.75,3/1/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Robert Irvine's - Fit Crunch -  Chocolate Pea,Food,14798567319,2024-03-08,Credit,138,2.0,1,138,2.0,1,2.0,2.0,3/8/2022,VM_001
