record_id,product_id,product_name,category,region,supplier_id,transaction_date,expiration_date,shelf_life_days,days_remaining_at_purchase,storage_temp,temp_deviation,base_price,cost_price,initial_quantity,spoilage_sensitivity,day_of_week,is_weekend,month,daily_demand,demand_variability,temp_abuse_events,distribution_hours,handling_score,packaging_score,spoilage_risk,was_spoiled,quality_grade,days_until_expiry,markdown_applied,discount_pct,selling_price,units_sold,units_wasted,waste_pct,revenue,waste_cost,profit,profit_margin_pct,supplier_score,is_promoted,official_id
29,PHA_INS_783,Insulin,Pharmaceuticals,Northeast,SUPPLIER_05,2024-07-21,2025-03-30,336,252,3.8,1.2,143.27,95.55,390,0.85,6,1,7,0,0.4,0,48.8,4,10,0.196,0,B,252,0,0.0,143.27,0,390,100.0,0.0,37264.5,-37264.5,0.0,10,0,VM_007
32,BAK_PAS_859,Pastries,Bakery,Northeast,SUPPLIER_18,2024-03-28,2024-04-01,6,4,23.7,3.7,2.13,0.9,462,0.5,3,0,3,134,0.1,2,55.0,8,8,0.21,0,A,2,1,0.24,1.62,343,119,25.8,555.66,107.1,139.86,25.2,8,0,VM_028
33,SEA_CRA_136,Crab,Seafood,West,SUPPLIER_14,2024-01-14,2024-01-18,6,4,-0.0,0.0,12.72,6.26,470,0.95,6,1,1,148,0.39,0,18.9,9,7,0.181,1,A,4,0,0.0,12.72,329,141,30.0,4184.88,882.66,1242.68,29.7,6,1,VM_010
34,DAI_YOG_315,Yogurt,Dairy,Southwest,SUPPLIER_18,2024-11-29,2024-12-11,12,12,1.9,2.1,10.84,5.66,327,0.7,4,0,11,51,0.34,0,10.4,6,10,0.127,1,A,9,0,0.0,10.84,228,99,30.3,2471.52,560.34,620.7,25.1,8,0,VM_023
38,BAK_CAK_756,Cakes,Bakery,Northeast,SUPPLIER_04,2024-06-05,2024-06-09,5,4,16.1,3.9,13.4,6.41,307,0.5,2,0,6,100,0.33,1,13.6,9,5,0.223,0,B,4,0,0.0,13.4,307,0,0.0,4113.8,0.0,2145.93,52.2,9,0,VM_002
39,BAK_BRE_211,Bread,Bakery,Northeast,SUPPLIER_11,2024-09-02,2024-09-06,5,4,17.3,2.7,7.67,5.33,69,0.5,0,0,9,15,0.24,0,59.2,7,6,0.243,0,B,2,1,0.28,5.52,34,35,50.7,187.68,186.55,-180.09,-96.0,6,0,VM_047
42,FRO_FRO_512,Frozen Vegetables,Frozen_Meals,Northeast,SUPPLIER_07,2024-12-14,2025-05-04,211,141,-19.7,0.3,10.73,7.32,356,0.3,5,1,12,1,0.22,0,58.2,9,9,0.137,0,A,138,0,0.0,10.73,101,255,71.6,1083.73,1866.6,-1522.19,-140.5,9,1,VM_009
44,DEL_PRE_552,Prepared Salads,Deli,Southeast,SUPPLIER_16,2024-03-28,2024-04-09,13,12,3.4,0.6,15.11,10.39,386,0.75,3,0,3,44,0.39,2,41.5,10,5,0.196,1,B,11,0,0.0,15.11,270,116,30.1,4079.7,1205.24,69.16,1.7,10,0,VM_033
47,MEA_LAM_524,Lamb,Meat,Southwest,SUPPLIER_13,2024-10-06,2024-10-10,6,4,0.1,0.9,14.89,7.05,345,0.9,6,1,10,87,0.26,1,9.2,10,8,0.158,1,A,2,1,0.16,12.51,172,173,50.1,2151.72,1219.65,-280.53,-13.0,10,0,VM_045
50,BEV_MIL_934,Milk Alternatives,Beverages,Northeast,SUPPLIER_15,2024-05-31,2024-06-14,20,14,1.5,3.5,9.18,5.72,253,0.4,4,0,5,15,0.23,2,55.9,5,9,0.205,0,B,13,0,0.0,9.18,202,51,20.2,1854.36,291.72,407.2,22.0,6,1,VM_036
54,FRO_FRO_888,Frozen Dinners,Frozen_Meals,Southwest,SUPPLIER_16,2024-08-21,2024-10-12,70,52,-18.8,1.2,4.09,2.07,395,0.3,2,0,8,12,0.27,0,45.6,5,8,0.19,0,B,52,0,0.0,4.09,395,0,0.0,1615.55,0.0,797.9,49.4,10,0,VM_025
55,FRO_FRO_651,Frozen Dinners,Frozen_Meals,Southeast,SUPPLIER_09,2024-07-13,2024-12-01,172,141,-17.9,2.1,10.97,4.48,182,0.3,5,1,7,3,0.23,0,67.6,10,6,0.198,1,A,138,0,0.0,10.97,127,55,30.2,1393.19,246.4,577.83,41.5,8,0,VM_015
56,FRO_ICE_960,Ice Cream,Frozen_Meals,Midwest,SUPPLIER_01,2024-04-23,2024-07-18,125,86,-18.1,1.9,18.51,10.69,349,0.3,1,0,4,0,0.43,0,53.9,7,10,0.143,0,A,83,0,0.0,18.51,0,349,100.0,0.0,3730.81,-3730.81,0.0,7,0,VM_035
57,DAI_MIL_758,Milk,Dairy,Northeast,SUPPLIER_02,2024-03-14,2024-03-20,9,6,2.3,1.7,4.6,2.29,242,0.7,3,0,3,30,0.4,1,51.7,9,5,0.255,1,B,4,0,0.0,4.6,113,129,53.3,519.8,295.41,-34.38,-6.6,7,0,VM_012
58,DEL_SAL_879,Salami,Deli,West,SUPPLIER_03,2024-01-24,2024-01-30,7,6,3.4,0.6,10.58,6.61,36,0.75,2,0,1,8,0.31,0,11.5,7,7,0.173,0,B,6,0,0.0,10.58,36,0,0.0,380.88,0.0,142.92,37.5,9,0,VM_017
63,REA_SAN_455,Sandwiches,Ready_to_Eat,Southeast,SUPPLIER_17,2024-06-29,2024-07-02,4,3,1.8,2.2,13.42,5.42,225,0.9,5,1,6,104,0.48,2,58.4,9,8,0.214,0,A,1,1,0.33,8.99,126,99,44.0,1132.74,536.58,-86.76,-7.7,9,0,VM_005
64,BEV_FRE_543,Fresh Juice,Beverages,West,SUPPLIER_05,2024-01-06,2024-01-26,27,20,2.6,2.4,5.48,3.4,343,0.4,5,1,1,15,0.49,1,50.2,9,8,0.17,0,A,17,0,0.0,5.48,246,97,28.3,1348.08,329.8,181.88,13.5,10,1,VM_046
65,BAK_CRO_927,Croissants,Bakery,Northeast,SUPPLIER_19,2024-07-05,2024-07-09,5,4,21.6,1.6,5.49,3.6,435,0.5,4,0,7,135,0.48,0,42.2,6,8,0.19,1,B,2,1,0.21,4.34,304,131,30.1,1319.36,471.6,-246.64,-18.7,10,0,VM_028
68,MEA_CHI_837,Chicken,Meat,Southwest,SUPPLIER_16,2024-02-21,2024-03-01,10,9,3.0,2.0,17.92,9.81,415,0.9,2,0,2,77,0.24,2,33.2,9,5,0.233,0,B,8,0,0.0,17.92,415,0,0.0,7436.8,0.0,3365.65,45.3,10,1,VM_045
70,PHA_ANT_535,Antibiotics,Pharmaceuticals,Southwest,SUPPLIER_15,2024-07-17,2025-06-05,368,323,3.7,1.3,146.39,69.6,71,0.85,2,0,7,1,0.1,0,28.4,4,10,0.167,0,B,322,0,0.0,146.39,71,0,0.0,10393.69,0.0,5452.09,52.5,6,0,VM_045
71,PRO_BAN_222,Bananas,Produce,Northeast,SUPPLIER_16,2024-07-02,2024-07-10,8,8,8.7,0.7,2.94,1.7,399,0.6,1,0,7,81,0.14,0,35.8,7,6,0.193,0,B,7,0,0.0,2.94,399,0,0.0,1173.06,0.0,494.76,42.2,10,0,VM_014
74,DAI_CRE_391,Cream,Dairy,West,SUPPLIER_06,2024-04-25,2024-05-12,20,17,7.1,3.1,11.65,5.54,451,0.7,3,0,4,36,0.42,4,45.1,9,8,0.19,1,A,17,0,0.0,11.65,315,136,30.2,3669.75,753.44,1171.21,31.9,8,1,VM_022
78,MEA_SAU_312,Sausages,Meat,Midwest,SUPPLIER_03,2024-10-02,2024-10-07,6,5,0.4,0.6,8.14,3.68,48,0.9,2,0,10,12,0.46,0,28.3,5,9,0.173,0,B,3,0,0.0,8.14,42,6,12.5,341.88,22.08,165.24,48.3,9,1,VM_043
79,SEA_SAL_518,Salmon,Seafood,Midwest,SUPPLIER_10,2024-04-06,2024-04-11,7,5,0.2,0.2,9.21,4.48,154,0.95,5,1,4,57,0.17,0,46.7,7,8,0.197,0,B,4,0,0.0,9.21,154,0,0.0,1418.34,0.0,728.42,51.4,8,0,VM_031
82,BAK_MUF_227,Muffins,Bakery,Southwest,SUPPLIER_13,2024-04-24,2024-04-30,7,6,20.7,0.7,14.25,7.84,262,0.5,2,0,4,54,0.24,2,12.7,5,8,0.167,0,B,5,0,0.0,14.25,194,68,26.0,2764.5,533.12,710.42,25.7,10,0,VM_045
84,REA_SOU_121,Soups,Ready_to_Eat,Northeast,SUPPLIER_06,2024-11-19,2024-11-22,3,3,3.0,1.0,11.12,6.62,479,0.9,1,0,11,221,0.35,0,28.2,6,5,0.228,0,C,0,1,0.63,4.11,479,0,0.0,1968.69,0.0,-1202.29,-61.1,8,0,VM_049
85,BAK_PAS_699,Pastries,Bakery,Southeast,SUPPLIER_16,2024-03-22,2024-03-28,7,6,18.4,1.6,6.52,3.26,353,0.5,4,0,3,70,0.32,3,46.6,8,9,0.149,1,A,4,0,0.0,6.52,247,106,30.0,1610.44,345.56,459.66,28.5,10,0,VM_006
88,DAI_CHE_630,Cheese,Dairy,Midwest,SUPPLIER_15,2024-01-06,2024-01-23,24,17,4.7,0.7,9.6,4.43,291,0.7,5,1,1,23,0.18,1,21.0,8,10,0.125,1,A,15,0,0.0,9.6,203,88,30.2,1948.8,389.84,659.67,33.9,6,0,VM_041
89,SEA_TUN_548,Tuna,Seafood,Northeast,SUPPLIER_20,2024-12-16,2024-12-21,5,5,-1.1,1.1,37.57,23.03,169,0.95,0,0,12,57,0.4,0,33.1,10,5,0.194,0,B,2,1,0.26,27.8,127,42,24.9,3530.6,967.26,-361.47,-10.2,9,1,VM_002
90,PHA_INS_665,Insulin,Pharmaceuticals,West,SUPPLIER_15,2024-02-22,2024-06-12,125,111,6.0,1.0,474.32,281.89,88,0.85,3,0,2,1,0.46,1,42.7,10,9,0.131,0,A,109,0,0.0,474.32,88,0,0.0,41740.16,0.0,16933.84,40.6,6,0,VM_008
91,BEV_KOM_621,Kombucha,Beverages,Midwest,SUPPLIER_16,2024-12-23,2025-01-04,15,12,5.2,0.2,3.95,2.23,206,0.4,0,0,12,10,0.34,0,44.9,8,7,0.175,0,B,10,0,0.0,3.95,108,98,47.6,426.6,218.54,-32.78,-7.7,10,0,VM_031
95,DEL_DIP_584,Dips,Deli,Midwest,SUPPLIER_05,2024-12-23,2024-12-29,9,6,3.2,0.8,10.93,4.49,267,0.75,0,0,12,55,0.31,0,52.1,9,8,0.186,1,A,3,1,0.16,9.18,160,107,40.1,1468.8,480.43,269.97,18.4,10,0,VM_043
98,PHA_PRO_424,Probiotics,Pharmaceuticals,Midwest,SUPPLIER_20,2024-10-03,2025-10-29,529,391,5.5,0.5,48.18,28.39,481,0.85,3,0,10,1,0.35,0,38.1,7,6,0.228,1,B,390,0,0.0,48.18,336,145,30.1,16188.48,4116.55,2532.89,15.6,9,1,VM_003
103,DEL_HUM_406,Hummus,Deli,Southwest,SUPPLIER_10,2024-10-16,2024-10-23,9,7,3.3,0.7,6.79,3.5,257,0.75,2,0,10,36,0.46,0,63.1,9,5,0.239,0,B,6,0,0.0,6.79,164,93,36.2,1113.56,325.5,214.06,19.2,8,0,VM_030
104,MEA_CHI_490,Chicken,Meat,Northeast,SUPPLIER_10,2024-08-08,2024-08-14,8,6,-0.6,1.6,5.44,3.53,212,0.9,3,0,8,32,0.45,0,63.2,10,9,0.176,0,A,3,1,0.12,4.79,122,90,42.5,584.38,317.7,-163.98,-28.1,8,0,VM_019
105,BAK_BRE_679,Bread,Bakery,Northeast,SUPPLIER_16,2024-12-03,2024-12-10,7,7,19.7,0.3,12.83,8.61,407,0.5,1,0,12,94,0.29,1,57.9,8,10,0.113,0,A,5,0,0.0,12.83,385,22,5.4,4939.55,189.42,1435.28,29.1,10,0,VM_039
107,SEA_LOB_199,Lobster,Seafood,West,SUPPLIER_15,2024-10-04,2024-10-11,7,7,3.8,3.8,9.23,4.7,77,0.95,4,0,10,13,0.28,3,59.4,6,8,0.243,0,B,7,0,0.0,9.23,77,0,0.0,710.71,0.0,348.81,49.1,6,0,VM_020
108,MEA_POR_434,Pork,Meat,Northeast,SUPPLIER_18,2024-03-01,2024-03-06,5,5,1.3,0.3,22.53,11.48,266,0.9,4,0,3,72,0.4,0,40.1,6,7,0.183,1,B,4,0,0.0,22.53,186,80,30.1,4190.58,918.4,1136.9,27.1,8,0,VM_009
110,SEA_TIL_331,Tilapia,Seafood,West,SUPPLIER_18,2024-11-23,2024-11-28,7,5,-0.1,0.1,21.53,13.72,17,0.95,5,1,11,3,0.29,1,4.3,6,8,0.176,0,B,3,0,0.0,21.53,9,8,47.1,193.77,109.76,-39.47,-20.4,8,0,VM_026
111,BAK_CRO_226,Croissants,Bakery,Southwest,SUPPLIER_13,2024-04-10,2024-04-13,4,3,16.2,3.8,12.69,8.66,65,0.5,2,0,4,28,0.12,2,47.0,4,10,0.199,0,B,2,0,0.0,12.69,47,18,27.7,596.43,155.88,33.53,5.6,10,0,VM_038
112,PRO_APP_125,Apples,Produce,Midwest,SUPPLIER_08,2024-09-26,2024-10-14,20,18,7.9,0.1,5.53,3.27,247,0.6,3,0,9,13,0.42,0,41.7,8,9,0.129,0,A,17,0,0.0,5.53,214,33,13.4,1183.42,107.91,375.73,31.7,9,0,VM_040
114,PHA_VAC_497,Vaccines,Pharmaceuticals,Southwest,SUPPLIER_05,2024-04-09,2025-02-05,409,302,9.9,4.9,444.43,265.09,436,0.85,1,0,4,5,0.3,1,66.0,4,10,0.272,1,B,299,0,0.0,444.43,305,131,30.0,135551.15,34726.79,19971.91,14.7,10,0,VM_038
116,DEL_HAM_802,Ham,Deli,Southeast,SUPPLIER_13,2024-01-12,2024-01-21,11,9,4.6,0.6,7.86,5.43,495,0.75,4,0,1,63,0.22,0,19.5,4,9,0.173,0,B,7,0,0.0,7.86,329,166,33.5,2585.94,901.38,-101.91,-3.9,10,0,VM_004
118,REA_SAL_170,Salads,Ready_to_Eat,Southeast,SUPPLIER_11,2024-07-21,2024-07-23,2,2,1.7,2.3,15.07,9.59,315,0.9,6,1,7,290,0.35,0,61.9,8,6,0.234,0,B,0,1,0.46,8.14,315,0,0.0,2564.1,0.0,-456.75,-17.8,6,1,VM_015
121,MEA_LAM_559,Lamb,Meat,Southeast,SUPPLIER_08,2024-01-06,2024-01-09,4,3,2.6,1.6,23.91,9.88,411,0.9,5,1,1,260,0.28,1,63.7,8,10,0.177,0,A,3,0,0.0,23.91,411,0,0.0,9827.01,0.0,5766.33,58.7,9,0,VM_033
122,PHA_ANT_569,Antibiotics,Pharmaceuticals,Midwest,SUPPLIER_13,2024-10-20,2024-12-19,61,60,3.2,1.8,221.74,95.88,374,0.85,6,1,10,7,0.36,2,50.6,5,9,0.188,0,B,58,0,0.0,221.74,374,0,0.0,82930.76,0.0,47071.64,56.8,10,0,VM_031
124,DEL_PRE_711,Prepared Salads,Deli,Southeast,SUPPLIER_20,2024-06-27,2024-07-03,7,6,1.2,2.8,10.02,6.39,68,0.75,3,0,6,10,0.1,1,34.6,5,6,0.262,1,C,3,1,0.18,8.22,36,32,47.1,295.92,204.48,-138.6,-46.8,9,0,VM_033
127,FRO_PIZ_862,Pizza,Frozen_Meals,Southeast,SUPPLIER_19,2024-01-17,2024-04-17,126,91,-22.0,2.0,19.31,10.98,353,0.3,2,0,1,2,0.32,1,17.6,8,8,0.147,1,A,89,0,0.0,19.31,214,139,39.4,4132.34,1526.22,256.4,6.2,10,1,VM_004
128,MEA_LAM_462,Lamb,Meat,Northeast,SUPPLIER_20,2024-11-12,2024-11-21,9,9,-0.1,1.1,11.25,4.85,269,0.9,1,0,11,34,0.42,1,48.9,4,10,0.164,0,B,9,0,0.0,11.25,269,0,0.0,3026.25,0.0,1721.6,56.9,9,0,VM_019
129,PRO_TOM_772,Tomatoes,Produce,Southwest,SUPPLIER_18,2024-05-08,2024-05-18,10,10,8.2,0.2,3.57,2.24,303,0.6,2,0,5,75,0.29,0,7.3,9,7,0.127,1,A,8,0,0.0,3.57,212,91,30.0,756.84,203.84,78.12,10.3,8,0,VM_023
130,PRO_GRA_539,Grapes,Produce,Northeast,SUPPLIER_09,2024-07-28,2024-08-17,20,20,7.0,1.0,1.2,0.58,400,0.6,6,1,7,46,0.4,1,49.0,5,5,0.246,0,C,18,1,0.18,0.98,400,0,0.0,392.0,0.0,160.0,40.8,8,0,VM_039
134,FRO_FRO_721,Frozen Dinners,Frozen_Meals,Northeast,SUPPLIER_17,2024-03-28,2024-11-21,272,238,-19.1,0.9,5.82,3.08,155,0.3,3,0,3,2,0.1,1,68.3,7,6,0.218,0,B,238,0,0.0,5.82,155,0,0.0,902.1,0.0,424.7,47.1,9,0,VM_014
135,REA_WRA_639,Wraps,Ready_to_Eat,Southeast,SUPPLIER_13,2024-11-14,2024-11-17,3,3,2.2,1.8,17.8,7.41,114,0.9,3,0,11,45,0.37,4,29.3,9,9,0.133,1,A,2,0,0.0,17.8,79,35,30.7,1406.2,259.35,561.46,39.9,10,1,VM_015
137,SEA_COD_645,Cod,Seafood,Southeast,SUPPLIER_13,2024-12-21,2024-12-23,3,2,-1.6,1.6,39.89,16.46,19,0.95,5,1,12,13,0.22,1,34.6,9,5,0.262,0,B,1,1,0.2,31.91,17,2,10.5,542.47,32.92,229.73,42.3,10,1,VM_005
141,PHA_BIO_216,Biologics,Pharmaceuticals,West,SUPPLIER_12,2024-06-27,2025-11-12,552,503,5.5,0.5,185.28,127.37,340,0.85,3,0,6,1,0.24,1,38.7,4,9,0.177,0,B,503,0,0.0,185.28,340,0,0.0,62995.2,0.0,19689.4,31.3,6,0,VM_050
143,SEA_TIL_743,Tilapia,Seafood,Northeast,SUPPLIER_19,2024-05-20,2024-05-24,5,4,-3.2,3.2,31.79,22.12,175,0.95,0,0,5,56,0.18,1,59.7,10,6,0.261,0,A,1,1,0.27,23.21,102,73,41.7,2367.42,1614.76,-1503.58,-63.5,10,0,VM_044
145,PHA_INS_417,Insulin,Pharmaceuticals,Southeast,SUPPLIER_12,2024-04-17,2025-08-13,492,483,5.5,0.5,418.37,176.98,452,0.85,2,0,4,1,0.31,1,47.8,5,6,0.224,1,C,481,1,0.18,343.06,316,136,30.1,108406.96,24069.28,28412.0,26.2,6,0,VM_004
146,MEA_TUR_708,Turkey,Meat,Southwest,SUPPLIER_18,2024-06-03,2024-06-09,9,6,2.6,1.6,24.08,14.97,31,0.9,0,0,6,3,0.29,2,27.9,4,10,0.203,0,B,3,1,0.22,18.78,13,18,58.1,244.14,269.46,-219.93,-90.1,8,0,VM_038
148,DEL_DIP_186,Dips,Deli,Midwest,SUPPLIER_08,2024-05-31,2024-06-12,13,12,1.4,2.6,13.91,9.7,278,0.75,4,0,5,31,0.19,0,6.9,9,8,0.152,0,A,11,0,0.0,13.91,278,0,0.0,3866.98,0.0,1170.38,30.3,9,0,VM_003
149,PHA_EYE_262,Eye Drops,Pharmaceuticals,Southwest,SUPPLIER_14,2024-01-08,2024-12-12,411,339,6.0,1.0,390.62,235.81,36,0.85,0,0,1,1,0.48,1,23.1,5,7,0.215,0,B,337,0,0.0,390.62,36,0,0.0,14062.32,0.0,5573.16,39.6,6,0,VM_025
153,PHA_INS_761,Insulin,Pharmaceuticals,Southeast,SUPPLIER_01,2024-11-17,2025-10-16,463,333,3.6,1.4,190.86,86.67,119,0.85,6,1,11,0,0.46,1,11.1,6,8,0.197,0,B,332,0,0.0,190.86,0,119,100.0,0.0,10313.73,-10313.73,0.0,7,0,VM_024
156,SEA_TIL_809,Tilapia,Seafood,Midwest,SUPPLIER_14,2024-10-01,2024-10-03,3,2,-1.4,1.4,21.48,13.23,237,0.95,1,0,10,108,0.21,0,9.2,10,10,0.13,0,A,0,1,0.51,10.53,237,0,0.0,2495.61,0.0,-639.9,-25.6,6,0,VM_003
157,REA_SUS_870,Sushi,Ready_to_Eat,West,SUPPLIER_16,2024-04-04,2024-04-06,2,2,7.7,3.7,16.75,7.67,357,0.9,3,0,4,309,0.2,1,24.7,9,8,0.184,0,A,2,0,0.0,16.75,357,0,0.0,5979.75,0.0,3241.56,54.2,10,0,VM_020
159,DAI_COT_592,Cottage Cheese,Dairy,West,SUPPLIER_17,2024-01-16,2024-02-06,22,21,1.6,2.4,10.51,5.1,400,0.7,1,0,1,37,0.26,0,70.4,6,8,0.217,0,B,19,0,0.0,10.51,400,0,0.0,4204.0,0.0,2164.0,51.5,9,0,VM_046
160,SEA_TUN_560,Tuna,Seafood,Southeast,SUPPLIER_08,2024-06-09,2024-06-11,3,2,1.3,1.3,38.22,25.43,486,0.95,6,1,6,283,0.35,0,55.9,6,8,0.241,0,B,0,1,0.64,13.76,486,0,0.0,6687.36,0.0,-5671.62,-84.8,9,0,VM_006
161,DAI_BUT_154,Butter,Dairy,Southeast,SUPPLIER_13,2024-02-10,2024-02-26,21,16,2.1,1.9,11.95,6.12,24,0.7,5,1,2,0,0.15,4,64.0,7,9,0.196,0,A,13,0,0.0,11.95,0,24,100.0,0.0,146.88,-146.88,0.0,10,0,VM_016
162,DEL_HAM_959,Ham,Deli,Northeast,SUPPLIER_02,2024-10-27,2024-11-04,8,8,5.6,1.6,8.02,5.2,366,0.75,6,1,10,56,0.43,1,56.3,7,7,0.203,0,B,6,0,0.0,8.02,366,0,0.0,2935.32,0.0,1032.12,35.2,7,0,VM_009
163,SEA_TIL_822,Tilapia,Seafood,Southeast,SUPPLIER_01,2024-04-25,2024-04-30,5,5,2.3,2.3,17.47,11.36,290,0.95,3,0,4,76,0.49,0,17.9,7,8,0.176,0,B,2,1,0.25,13.1,260,30,10.3,3406.0,340.8,111.6,3.3,7,0,VM_006
167,MEA_TUR_657,Turkey,Meat,Midwest,SUPPLIER_02,2024-06-03,2024-06-05,3,2,2.6,1.6,17.71,12.3,139,0.9,0,0,6,59,0.25,2,56.9,4,6,0.303,1,C,1,1,0.26,13.11,72,67,48.2,943.92,824.1,-765.78,-81.1,7,0,VM_031
169,SEA_SAL_460,Salmon,Seafood,West,SUPPLIER_15,2024-07-13,2024-07-17,4,4,-0.5,0.5,44.29,24.07,103,0.95,5,1,7,55,0.36,0,24.5,4,10,0.137,0,B,2,0,0.0,44.29,103,0,0.0,4561.87,0.0,2082.66,45.7,6,0,VM_050
170,SEA_SAL_833,Salmon,Seafood,Northeast,SUPPLIER_02,2024-04-13,2024-04-14,2,1,-1.5,1.5,37.27,24.81,171,0.95,5,1,4,196,0.19,0,7.9,5,7,0.265,0,B,0,1,0.51,18.26,171,0,0.0,3122.46,0.0,-1120.05,-35.9,7,0,VM_013
171,BAK_CRO_507,Croissants,Bakery,Midwest,SUPPLIER_07,2024-07-10,2024-07-14,5,4,18.2,1.8,5.72,3.77,34,0.5,2,0,7,9,0.22,2,61.9,9,10,0.136,1,A,2,1,0.22,4.46,23,11,32.4,102.58,41.47,-25.6,-25.0,9,0,VM_003
172,DEL_SAL_227,Salami,Deli,Southwest,SUPPLIER_15,2024-01-12,2024-01-18,9,6,2.4,1.6,16.52,8.52,105,0.75,4,0,1,16,0.36,0,10.0,7,5,0.248,1,B,5,0,0.0,16.52,69,36,34.3,1139.88,306.72,245.28,21.5,6,0,VM_048
173,BEV_COL_476,Cold Brew Coffee,Beverages,Northeast,SUPPLIER_14,2024-06-15,2024-06-30,15,15,4.8,0.2,2.63,1.53,431,0.4,5,1,6,83,0.37,0,69.2,7,9,0.15,0,A,13,0,0.0,2.63,431,0,0.0,1133.53,0.0,474.1,41.8,6,1,VM_047
176,DAI_MIL_787,Milk,Dairy,Southeast,SUPPLIER_06,2024-10-14,2024-10-29,17,15,5.7,1.7,11.53,5.11,321,0.7,0,0,10,19,0.19,2,8.3,4,10,0.152,0,B,15,0,0.0,11.53,321,0,0.0,3701.13,0.0,2060.82,55.7,8,0,VM_033
178,BEV_KOM_480,Kombucha,Beverages,Southeast,SUPPLIER_12,2024-03-30,2024-04-07,9,8,7.9,2.9,5.18,3.08,137,0.4,5,1,3,28,0.26,2,32.9,4,7,0.223,1,C,6,1,0.24,3.94,95,42,30.7,374.3,129.36,-47.66,-12.7,6,0,VM_034
