record_id,product_id,product_name,category,store_id,region,supplier_id,transaction_date,expiration_date,shelf_life_days,days_remaining_at_purchase,storage_temp,temp_deviation,base_price,cost_price,initial_quantity,spoilage_sensitivity,day_of_week,is_weekend,month,daily_demand,demand_variability,temp_abuse_events,distribution_hours,handling_score,packaging_score,spoilage_risk,was_spoiled,quality_grade,days_until_expiry,markdown_applied,discount_pct,selling_price,units_sold,units_wasted,waste_pct,revenue,waste_cost,profit,profit_margin_pct,supplier_score,is_promoted
17,REA_SOU_584,Soups,Ready_to_Eat,STORE_013,Northeast,SUPPLIER_04,2023-09-06,2023-09-09,4.0,3.0,2.0,2.0,6.26,3.31,226.0,0.9,2.0,0.0,9.0,84.0,0.14,3.0,35.7,5.0,6.0,0.275,0.0,C,0.0,1.0,0.68,2.0,226.0,0.0,0.0,452.0,0.0,-296.06,-65.5,9.0,1.0
18,FRO_FRO_984,Frozen Dinners,Frozen_Meals,STORE_026,West,SUPPLIER_11,2023-02-25,2023-06-12,110.0,107.0,-19.4,0.6,16.81,7.28,108.0,0.3,5.0,1.0,2.0,1.0,0.14,1.0,42.8,5.0,7.0,0.195,0.0,B,107.0,0.0,0.0,16.81,103.0,5.0,4.6,1731.43,36.4,945.19,54.6,6.0,0.0
19,PRO_BER_559,Berries,Produce,STORE_018,West,SUPPLIER_15,2023-05-24,2023-06-08,16.0,15.0,6.2,1.8,2.75,1.86,236.0,0.6,2.0,0.0,5.0,25.0,0.22,1.0,64.7,7.0,6.0,0.232,0.0,B,12.0,0.0,0.0,2.75,236.0,0.0,0.0,649.0,0.0,210.04,32.4,6.0,0.0
20,PHA_INS_151,Insulin,Pharmaceuticals,STORE_006,Southeast,SUPPLIER_08,2024-10-29,2026-06-01,583.0,580.0,2.2,2.8,95.66,52.2,119.0,0.85,1.0,0.0,10.0,1.0,0.27,3.0,28.3,6.0,9.0,0.178,0.0,B,579.0,0.0,0.0,95.66,119.0,0.0,0.0,11383.54,0.0,5171.74,45.4,9.0,1.0
21,FRO_PIZ_268,Pizza,Frozen_Meals,STORE_017,West,SUPPLIER_15,2024-01-24,2024-03-13,61.0,49.0,-17.1,2.9,8.56,5.21,384.0,0.3,2.0,0.0,1.0,8.0,0.14,1.0,26.5,5.0,6.0,0.225,0.0,C,47.0,1.0,0.24,6.51,384.0,0.0,0.0,2499.84,0.0,499.2,20.0,6.0,0.0
22,PHA_BIO_835,Biologics,Pharmaceuticals,STORE_019,Northeast,SUPPLIER_07,2024-05-13,2024-11-05,188.0,176.0,4.5,0.5,484.82,278.17,287.0,0.85,0.0,0.0,5.0,2.0,0.44,0.0,55.6,10.0,6.0,0.185,1.0,A,174.0,0.0,0.0,484.82,200.0,87.0,30.3,96964.0,24200.79,17129.21,17.7,9.0,0.0
23,DAI_COT_421,Cottage Cheese,Dairy,STORE_031,Midwest,SUPPLIER_17,2023-02-28,2023-03-04,6.0,4.0,4.1,0.1,11.19,6.26,39.0,0.7,1.0,0.0,2.0,7.0,0.45,0.0,63.4,7.0,5.0,0.26,0.0,B,2.0,1.0,0.27,8.17,20.0,19.0,48.7,163.4,118.94,-80.74,-49.4,9.0,0.0
24,PHA_INS_971,Insulin,Pharmaceuticals,STORE_044,Northeast,SUPPLIER_08,2023-07-10,2023-10-14,100.0,96.0,2.2,2.8,210.83,143.89,301.0,0.85,0.0,0.0,7.0,5.0,0.29,2.0,36.6,10.0,7.0,0.188,0.0,A,94.0,0.0,0.0,210.83,301.0,0.0,0.0,63459.83,0.0,20148.94,31.8,9.0,0.0
25,PRO_BER_708,Berries,Produce,STORE_043,Midwest,SUPPLIER_19,2023-02-10,2023-02-14,5.0,4.0,6.9,1.1,4.96,2.45,143.0,0.6,4.0,0.0,2.0,42.0,0.41,0.0,70.6,6.0,6.0,0.25,1.0,B,2.0,1.0,0.26,3.67,98.0,45.0,31.5,359.66,110.25,9.31,2.6,10.0,0.0
26,PRO_AVO_833,Avocados,Produce,STORE_026,West,SUPPLIER_05,2023-11-18,2023-11-26,10.0,8.0,8.2,0.2,5.7,2.79,171.0,0.6,5.0,1.0,11.0,34.0,0.44,0.0,30.4,6.0,9.0,0.152,0.0,B,7.0,0.0,0.0,5.7,171.0,0.0,0.0,974.7,0.0,497.61,51.1,10.0,1.0
27,MEA_BEE_569,Beef,Meat,STORE_035,Midwest,SUPPLIER_07,2024-09-28,2024-10-02,4.0,4.0,-1.3,2.3,15.12,6.65,188.0,0.9,5.0,1.0,9.0,84.0,0.21,1.0,21.0,6.0,10.0,0.146,1.0,A,4.0,0.0,0.0,15.12,131.0,57.0,30.3,1980.72,379.05,730.52,36.9,9.0,0.0
28,MEA_CHI_478,Chicken,Meat,STORE_035,Midwest,SUPPLIER_10,2023-10-19,2023-10-23,5.0,4.0,1.8,0.8,17.23,12.0,344.0,0.9,3.0,0.0,10.0,80.0,0.45,0.0,70.3,4.0,6.0,0.28,0.0,C,1.0,1.0,0.49,8.79,158.0,186.0,54.1,1388.82,2232.0,-2739.18,-197.2,8.0,0.0
29,PHA_INS_783,Insulin,Pharmaceuticals,STORE_007,Northeast,SUPPLIER_05,2024-07-21,2025-03-30,336.0,252.0,3.8,1.2,143.27,95.55,390.0,0.85,6.0,1.0,7.0,0.0,0.4,0.0,48.8,4.0,10.0,0.196,0.0,B,252.0,0.0,0.0,143.27,0.0,390.0,100.0,0.0,37264.5,-37264.5,0.0,10.0,0.0
30,PHA_VAC_378,Vaccines,Pharmaceuticals,STORE_046,West,SUPPLIER_11,2023-10-16,2025-06-03,649.0,596.0,4.4,0.6,113.74,67.14,145.0,0.85,0.0,0.0,10.0,0.0,0.38,0.0,69.8,4.0,8.0,0.219,0.0,B,594.0,0.0,0.0,113.74,0.0,145.0,100.0,0.0,9735.3,-9735.3,0.0,6.0,0.0
31,PHA_PRO_357,Probiotics,Pharmaceuticals,STORE_028,Northeast,SUPPLIER_09,2023-02-22,2023-05-17,124.0,84.0,3.8,1.2,36.38,18.19,76.0,0.85,2.0,0.0,2.0,1.0,0.21,1.0,57.3,8.0,9.0,0.191,0.0,A,81.0,0.0,0.0,36.38,76.0,0.0,0.0,2764.88,0.0,1382.44,50.0,8.0,1.0
32,BAK_PAS_859,Pastries,Bakery,STORE_028,Northeast,SUPPLIER_18,2024-03-28,2024-04-01,6.0,4.0,23.7,3.7,2.13,0.9,462.0,0.5,3.0,0.0,3.0,134.0,0.1,2.0,55.0,8.0,8.0,0.21,0.0,A,2.0,1.0,0.24,1.62,343.0,119.0,25.8,555.66,107.1,139.86,25.2,8.0,0.0
33,SEA_CRA_136,Crab,Seafood,STORE_010,West,SUPPLIER_14,2024-01-14,2024-01-18,6.0,4.0,-0.0,0.0,12.72,6.26,470.0,0.95,6.0,1.0,1.0,148.0,0.39,0.0,18.9,9.0,7.0,0.181,1.0,A,4.0,0.0,0.0,12.72,329.0,141.0,30.0,4184.88,882.66,1242.68,29.7,6.0,1.0
34,DAI_YOG_315,Yogurt,Dairy,STORE_023,Southwest,SUPPLIER_18,2024-11-29,2024-12-11,12.0,12.0,1.9,2.1,10.84,5.66,327.0,0.7,4.0,0.0,11.0,51.0,0.34,0.0,10.4,6.0,10.0,0.127,1.0,A,9.0,0.0,0.0,10.84,228.0,99.0,30.3,2471.52,560.34,620.7,25.1,8.0,0.0
35,SEA_SHR_985,Shrimp,Seafood,STORE_002,Northeast,SUPPLIER_06,2023-06-16,2023-06-18,3.0,2.0,1.6,1.6,35.25,17.61,486.0,0.95,4.0,0.0,6.0,221.0,0.17,1.0,55.2,10.0,7.0,0.226,0.0,A,0.0,1.0,0.58,14.81,486.0,0.0,0.0,7197.66,0.0,-1360.8,-18.9,8.0,0.0
36,FRO_ICE_373,Ice Cream,Frozen_Meals,STORE_003,Midwest,SUPPLIER_16,2023-06-13,2023-09-12,115.0,91.0,-22.4,2.4,7.56,4.88,245.0,0.3,1.0,0.0,6.0,2.0,0.23,2.0,10.6,6.0,7.0,0.181,0.0,B,89.0,0.0,0.0,7.56,160.0,85.0,34.7,1209.6,414.8,14.0,1.2,10.0,0.0
37,DEL_SAL_940,Salami,Deli,STORE_043,Midwest,SUPPLIER_07,2023-08-22,2023-08-28,6.0,6.0,4.4,0.4,9.58,4.63,45.0,0.75,1.0,0.0,8.0,8.0,0.35,0.0,55.9,7.0,7.0,0.185,0.0,B,4.0,0.0,0.0,9.58,35.0,10.0,22.2,335.3,46.3,126.95,37.9,9.0,0.0
38,BAK_CAK_756,Cakes,Bakery,STORE_002,Northeast,SUPPLIER_04,2024-06-05,2024-06-09,5.0,4.0,16.1,3.9,13.4,6.41,307.0,0.5,2.0,0.0,6.0,100.0,0.33,1.0,13.6,9.0,5.0,0.223,0.0,B,4.0,0.0,0.0,13.4,307.0,0.0,0.0,4113.8,0.0,2145.93,52.2,9.0,0.0
39,BAK_BRE_211,Bread,Bakery,STORE_047,Northeast,SUPPLIER_11,2024-09-02,2024-09-06,5.0,4.0,17.3,2.7,7.67,5.33,69.0,0.5,0.0,0.0,9.0,15.0,0.24,0.0,59.2,7.0,6.0,0.243,0.0,B,2.0,1.0,0.28,5.52,34.0,35.0,50.7,187.68,186.55,-180.09,-96.0,6.0,0.0
40,FRO_FRO_294,Frozen Desserts,Frozen_Meals,STORE_028,Northeast,SUPPLIER_01,2023-09-18,2023-11-17,82.0,60.0,-19.6,0.4,12.32,7.91,361.0,0.3,0.0,0.0,9.0,8.0,0.44,0.0,39.0,6.0,6.0,0.212,0.0,B,57.0,0.0,0.0,12.32,361.0,0.0,0.0,4447.52,0.0,1592.01,35.8,7.0,0.0
41,PRO_BAN_541,Bananas,Produce,STORE_021,Southeast,SUPPLIER_04,2023-03-13,2023-03-22,13.0,9.0,9.5,1.5,6.04,2.96,168.0,0.6,0.0,0.0,3.0,16.0,0.46,0.0,38.7,5.0,9.0,0.193,0.0,B,6.0,0.0,0.0,6.04,121.0,47.0,28.0,730.84,139.12,233.56,32.0,9.0,0.0
42,FRO_FRO_512,Frozen Vegetables,Frozen_Meals,STORE_009,Northeast,SUPPLIER_07,2024-12-14,2025-05-04,211.0,141.0,-19.7,0.3,10.73,7.32,356.0,0.3,5.0,1.0,12.0,1.0,0.22,0.0,58.2,9.0,9.0,0.137,0.0,A,138.0,0.0,0.0,10.73,101.0,255.0,71.6,1083.73,1866.6,-1522.19,-140.5,9.0,1.0
43,SEA_CRA_682,Crab,Seafood,STORE_020,West,SUPPLIER_10,2023-11-05,2023-11-10,5.0,5.0,-0.2,0.2,15.78,10.03,320.0,0.95,6.0,1.0,11.0,124.0,0.5,0.0,63.2,6.0,7.0,0.198,0.0,B,2.0,1.0,0.18,12.94,272.0,48.0,15.0,3519.68,481.44,310.08,8.8,8.0,0.0
44,DEL_PRE_552,Prepared Salads,Deli,STORE_033,Southeast,SUPPLIER_16,2024-03-28,2024-04-09,13.0,12.0,3.4,0.6,15.11,10.39,386.0,0.75,3.0,0.0,3.0,44.0,0.39,2.0,41.5,10.0,5.0,0.196,1.0,B,11.0,0.0,0.0,15.11,270.0,116.0,30.1,4079.7,1205.24,69.16,1.7,10.0,0.0
45,SEA_LOB_186,Lobster,Seafood,STORE_041,Midwest,SUPPLIER_20,2023-10-18,2023-10-22,6.0,4.0,-3.0,3.0,20.4,13.17,394.0,0.95,2.0,0.0,10.0,86.0,0.21,1.0,41.4,9.0,5.0,0.293,1.0,B,1.0,1.0,0.41,12.04,167.0,227.0,57.6,2010.68,2989.59,-3178.3,-158.1,9.0,1.0
46,PRO_AVO_417,Avocados,Produce,STORE_002,Northeast,SUPPLIER_02,2023-08-19,2023-08-27,9.0,8.0,6.6,1.4,2.71,1.47,445.0,0.6,5.0,1.0,8.0,118.0,0.23,0.0,30.1,5.0,7.0,0.208,0.0,B,5.0,0.0,0.0,2.71,445.0,0.0,0.0,1205.95,0.0,551.8,45.8,7.0,1.0
47,MEA_LAM_524,Lamb,Meat,STORE_045,Southwest,SUPPLIER_13,2024-10-06,2024-10-10,6.0,4.0,0.1,0.9,14.89,7.05,345.0,0.9,6.0,1.0,10.0,87.0,0.26,1.0,9.2,10.0,8.0,0.158,1.0,A,2.0,1.0,0.16,12.51,172.0,173.0,50.1,2151.72,1219.65,-280.53,-13.0,10.0,0.0
48,DAI_SOU_981,Sour Cream,Dairy,STORE_015,Southeast,SUPPLIER_06,2023-04-20,2023-05-13,29.0,23.0,6.1,2.1,10.04,6.11,247.0,0.7,3.0,0.0,4.0,18.0,0.36,0.0,15.9,7.0,8.0,0.182,0.0,B,21.0,0.0,0.0,10.04,247.0,0.0,0.0,2479.88,0.0,970.71,39.1,8.0,0.0
49,DAI_CRE_355,Cream,Dairy,STORE_030,Southwest,SUPPLIER_17,2023-05-05,2023-05-23,19.0,18.0,4.7,0.7,11.88,6.87,496.0,0.7,4.0,0.0,5.0,38.0,0.18,0.0,34.7,4.0,10.0,0.149,0.0,B,16.0,0.0,0.0,11.88,496.0,0.0,0.0,5892.48,0.0,2484.96,42.2,9.0,0.0
50,BEV_MIL_934,Milk Alternatives,Beverages,STORE_036,Northeast,SUPPLIER_15,2024-05-31,2024-06-14,20.0,14.0,1.5,3.5,9.18,5.72,253.0,0.4,4.0,0.0,5.0,15.0,0.23,2.0,55.9,5.0,9.0,0.205,0.0,B,13.0,0.0,0.0,9.18,202.0,51.0,20.2,1854.36,291.72,407.2,22.0,6.0,1.0
51,BEV_KOM_869,Kombucha,Beverages,STORE_050,West,SUPPLIER_17,2023-09-11,2023-10-04,27.0,23.0,5.6,0.6,5.88,2.77,235.0,0.4,0.0,0.0,9.0,12.0,0.5,0.0,71.8,9.0,7.0,0.184,0.0,A,21.0,0.0,0.0,5.88,235.0,0.0,0.0,1381.8,0.0,730.85,52.9,9.0,0.0
52,MEA_GRO_392,Ground Beef,Meat,STORE_021,Southeast,SUPPLIER_18,2023-08-29,2023-09-04,7.0,6.0,0.2,0.8,6.61,2.94,206.0,0.9,1.0,0.0,8.0,32.0,0.49,0.0,14.8,7.0,7.0,0.184,1.0,B,6.0,0.0,0.0,6.61,144.0,62.0,30.1,951.84,182.28,346.2,36.4,8.0,1.0
53,SEA_LOB_319,Lobster,Seafood,STORE_022,West,SUPPLIER_18,2023-03-07,2023-03-11,5.0,4.0,-1.4,1.4,25.24,10.57,436.0,0.95,1.0,0.0,3.0,141.0,0.24,1.0,53.3,9.0,8.0,0.192,1.0,A,2.0,1.0,0.12,22.21,305.0,131.0,30.0,6774.05,1384.67,2165.53,32.0,8.0,0.0
54,FRO_FRO_888,Frozen Dinners,Frozen_Meals,STORE_025,Southwest,SUPPLIER_16,2024-08-21,2024-10-12,70.0,52.0,-18.8,1.2,4.09,2.07,395.0,0.3,2.0,0.0,8.0,12.0,0.27,0.0,45.6,5.0,8.0,0.19,0.0,B,52.0,0.0,0.0,4.09,395.0,0.0,0.0,1615.55,0.0,797.9,49.4,10.0,0.0
55,FRO_FRO_651,Frozen Dinners,Frozen_Meals,STORE_015,Southeast,SUPPLIER_09,2024-07-13,2024-12-01,172.0,141.0,-17.9,2.1,10.97,4.48,182.0,0.3,5.0,1.0,7.0,3.0,0.23,0.0,67.6,10.0,6.0,0.198,1.0,A,138.0,0.0,0.0,10.97,127.0,55.0,30.2,1393.19,246.4,577.83,41.5,8.0,0.0
56,FRO_ICE_960,Ice Cream,Frozen_Meals,STORE_035,Midwest,SUPPLIER_01,2024-04-23,2024-07-18,125.0,86.0,-18.1,1.9,18.51,10.69,349.0,0.3,1.0,0.0,4.0,0.0,0.43,0.0,53.9,7.0,10.0,0.143,0.0,A,83.0,0.0,0.0,18.51,0.0,349.0,100.0,0.0,3730.81,-3730.81,0.0,7.0,0.0
57,DAI_MIL_758,Milk,Dairy,STORE_012,Northeast,SUPPLIER_02,2024-03-14,2024-03-20,9.0,6.0,2.3,1.7,4.6,2.29,242.0,0.7,3.0,0.0,3.0,30.0,0.4,1.0,51.7,9.0,5.0,0.255,1.0,B,4.0,0.0,0.0,4.6,113.0,129.0,53.3,519.8,295.41,-34.38,-6.6,7.0,0.0
58,DEL_SAL_879,Salami,Deli,STORE_017,West,SUPPLIER_03,2024-01-24,2024-01-30,7.0,6.0,3.4,0.6,10.58,6.61,36.0,0.75,2.0,0.0,1.0,8.0,0.31,0.0,11.5,7.0,7.0,0.173,0.0,B,6.0,0.0,0.0,10.58,36.0,0.0,0.0,380.88,0.0,142.92,37.5,9.0,0.0
59,DEL_TUR_765,Turkey Slices,Deli,STORE_049,Northeast,SUPPLIER_01,2023-03-12,2023-03-25,13.0,13.0,4.7,0.7,17.29,7.95,20.0,0.75,6.0,1.0,3.0,2.0,0.22,0.0,36.2,8.0,6.0,0.186,0.0,B,12.0,0.0,0.0,17.29,20.0,0.0,0.0,345.8,0.0,186.8,54.0,7.0,0.0
60,REA_SAL_344,Salads,Ready_to_Eat,STORE_037,Northeast,SUPPLIER_07,2023-05-10,2023-05-14,4.0,4.0,6.0,2.0,11.05,5.27,198.0,0.9,2.0,0.0,5.0,71.0,0.45,0.0,69.5,6.0,8.0,0.214,0.0,B,4.0,0.0,0.0,11.05,198.0,0.0,0.0,2187.9,0.0,1144.44,52.3,9.0,1.0
61,SEA_CRA_721,Crab,Seafood,STORE_007,Northeast,SUPPLIER_19,2023-04-28,2023-04-30,3.0,2.0,-1.0,1.0,8.95,4.42,356.0,0.95,4.0,0.0,4.0,199.0,0.34,0.0,63.4,6.0,9.0,0.221,0.0,B,1.0,1.0,0.25,6.71,241.0,115.0,32.3,1617.11,508.3,43.59,2.7,10.0,0.0
62,FRO_FRO_832,Frozen Dinners,Frozen_Meals,STORE_007,Northeast,SUPPLIER_10,2023-07-23,2023-10-14,98.0,83.0,-20.4,0.4,17.6,10.21,71.0,0.3,6.0,1.0,7.0,3.0,0.44,1.0,68.4,8.0,5.0,0.227,0.0,B,80.0,0.0,0.0,17.6,71.0,0.0,0.0,1249.6,0.0,524.69,42.0,8.0,0.0
63,REA_SAN_455,Sandwiches,Ready_to_Eat,STORE_005,Southeast,SUPPLIER_17,2024-06-29,2024-07-02,4.0,3.0,1.8,2.2,13.42,5.42,225.0,0.9,5.0,1.0,6.0,104.0,0.48,2.0,58.4,9.0,8.0,0.214,0.0,A,1.0,1.0,0.33,8.99,126.0,99.0,44.0,1132.74,536.58,-86.76,-7.7,9.0,0.0
64,BEV_FRE_543,Fresh Juice,Beverages,STORE_046,West,SUPPLIER_05,2024-01-06,2024-01-26,27.0,20.0,2.6,2.4,5.48,3.4,343.0,0.4,5.0,1.0,1.0,15.0,0.49,1.0,50.2,9.0,8.0,0.17,0.0,A,17.0,0.0,0.0,5.48,246.0,97.0,28.3,1348.08,329.8,181.88,13.5,10.0,1.0
65,BAK_CRO_927,Croissants,Bakery,STORE_028,Northeast,SUPPLIER_19,2024-07-05,2024-07-09,5.0,4.0,21.6,1.6,5.49,3.6,435.0,0.5,4.0,0.0,7.0,135.0,0.48,0.0,42.2,6.0,8.0,0.19,1.0,B,2.0,1.0,0.21,4.34,304.0,131.0,30.1,1319.36,471.6,-246.64,-18.7,10.0,0.0
66,MEA_POR_561,Pork,Meat,STORE_022,West,SUPPLIER_01,2023-09-07,2023-09-14,10.0,7.0,3.7,2.7,14.89,7.41,259.0,0.9,3.0,0.0,9.0,32.0,0.32,3.0,51.7,5.0,10.0,0.225,1.0,B,5.0,0.0,0.0,14.89,181.0,78.0,30.1,2695.09,577.98,775.9,28.8,7.0,0.0
67,PRO_BAN_916,Bananas,Produce,STORE_039,Northeast,SUPPLIER_09,2023-09-22,2023-10-03,13.0,11.0,7.9,0.1,4.89,2.71,107.0,0.6,4.0,0.0,9.0,18.0,0.23,0.0,32.5,5.0,8.0,0.178,0.0,B,8.0,0.0,0.0,4.89,107.0,0.0,0.0,523.23,0.0,233.26,44.6,8.0,0.0
68,MEA_CHI_837,Chicken,Meat,STORE_045,Southwest,SUPPLIER_16,2024-02-21,2024-03-01,10.0,9.0,3.0,2.0,17.92,9.81,415.0,0.9,2.0,0.0,2.0,77.0,0.24,2.0,33.2,9.0,5.0,0.233,0.0,B,8.0,0.0,0.0,17.92,415.0,0.0,0.0,7436.8,0.0,3365.65,45.3,10.0,1.0
69,DAI_MIL_401,Milk,Dairy,STORE_016,Southeast,SUPPLIER_10,2023-08-15,2023-08-27,17.0,12.0,4.7,0.7,8.64,4.41,293.0,0.7,1.0,0.0,8.0,31.0,0.33,1.0,25.4,4.0,8.0,0.208,0.0,B,10.0,0.0,0.0,8.64,293.0,0.0,0.0,2531.52,0.0,1239.39,49.0,8.0,0.0
70,PHA_ANT_535,Antibiotics,Pharmaceuticals,STORE_045,Southwest,SUPPLIER_15,2024-07-17,2025-06-05,368.0,323.0,3.7,1.3,146.39,69.6,71.0,0.85,2.0,0.0,7.0,1.0,0.1,0.0,28.4,4.0,10.0,0.167,0.0,B,322.0,0.0,0.0,146.39,71.0,0.0,0.0,10393.69,0.0,5452.09,52.5,6.0,0.0
